question_id,subject,field,latex,error
"Q-0000086","Toán","noi_dung","A', Q: 'BC^{2} = AB^{2} + AC^{2}'.","KaTeX parse error: Double superscript at position 33: …AB^{2} + AC^{2}'̲."
"Q-0000197","Toán","noi_dung","'E = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000203","Toán","noi_dung","10: B = {x \in  \mathbb{N} \underline{\ \ \ } x","KaTeX parse error: Expected '}', got 'EOF' at end of input: …rline{\ \ \ } x"
"Q-0000203","Toán","noi_dung","x < 10}","KaTeX parse error: Expected 'EOF', got '}' at position 7: x < 10}̲"
"Q-0000204","Toán","noi_dung","{x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000204","Toán","noi_dung","{x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000204","Toán","noi_dung","0 < x < 10}","KaTeX parse error: Expected 'EOF', got '}' at position 11: 0 < x < 10}̲"
"Q-0000204","Toán","noi_dung","{x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000204","Toán","noi_dung","x < 10}","KaTeX parse error: Expected 'EOF', got '}' at position 7: x < 10}̲"
"Q-0000207","Toán","noi_dung","F = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000207","Toán","noi_dung","G = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000207","Toán","dap_an","{x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000207","Toán","dap_an","G = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000207","Toán","dap_an","0 < x \le  6}.","KaTeX parse error: Expected 'EOF', got '}' at position 13: 0 < x \le 6}̲."
"Q-0000226","Toán","noi_dung","A = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000226","Toán","noi_dung","4}, B = {x \in  \mathbb{N} | x","KaTeX parse error: Expected 'EOF', got '}' at position 2: 4}̲, B = {x \in \…"
"Q-0000236","Toán","noi_dung","A = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000236","Toán","noi_dung","3}, B = {x \in  \mathbb{N} | x","KaTeX parse error: Expected 'EOF', got '}' at position 2: 3}̲, B = {x \in \…"
"Q-0000237","Toán","noi_dung","'A = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000237","Toán","noi_dung","4}, B = {x \in  \mathbb{N} | x","KaTeX parse error: Expected 'EOF', got '}' at position 2: 4}̲, B = {x \in \…"
"Q-0000246","Toán","noi_dung","A = {x \in  \mathbb{N} | x","KaTeX parse error: Expected '}', got 'EOF' at end of input: … \mathbb{N} | x"
"Q-0000246","Toán","noi_dung","4}, B = {x \in  \mathbb{N} | x","KaTeX parse error: Expected 'EOF', got '}' at position 2: 4}̲, B = {x \in \…"
"Q-0000246","Toán","noi_dung","2}. B1:","KaTeX parse error: Expected 'EOF', got '}' at position 2: 2}̲. B1:"
"Q-0000272","Toán","loi_giai","\mathbb{N} = {0; 1; 2;","KaTeX parse error: Expected '}', got 'EOF' at end of input: …{N} = {0; 1; 2;"
"Q-0000301","Toán","loi_giai","A \cap  B = {x | x \in  A","KaTeX parse error: Expected '}', got 'EOF' at end of input: …= {x | x \in A"
"Q-0000301","Toán","loi_giai","x \in  B} -","KaTeX parse error: Expected 'EOF', got '}' at position 9: x \in B}̲ -"
"Q-0000311","Toán","loi_giai","A \cup  B = {x | x \in  A","KaTeX parse error: Expected '}', got 'EOF' at end of input: …= {x | x \in A"
"Q-0000311","Toán","loi_giai","x \in  B} -","KaTeX parse error: Expected 'EOF', got '}' at position 9: x \in B}̲ -"
"Q-0000321","Toán","loi_giai","A \ B = {x | x \in  A","KaTeX parse error: Expected '}', got 'EOF' at end of input: …= {x | x \in A"
"Q-0000321","Toán","loi_giai","x \notin  B}.","KaTeX parse error: Expected 'EOF', got '}' at position 12: x \notin B}̲."
"Q-0000326","Toán","dap_an","B \ A = {d} | B3: {a} \ne  {d} \Rightarrow  A\B \ne  B\A \Rightarrow","KaTeX parse error: Undefined control sequence: \B at position 46: … \Rightarrow A\̲B̲ ̲\ne"
"Q-0000327","Toán","noi_dung","A\B = B\A.","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲= B\A."
"Q-0000327","Toán","noi_dung","A\B = {1}.","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲= {1}."
"Q-0000327","Toán","dap_an","B\A =","KaTeX parse error: Undefined control sequence: \A at position 2: B\̲A̲ ̲="
"Q-0000327","Toán","dap_an","B\A = {3}.","KaTeX parse error: Undefined control sequence: \A at position 2: B\̲A̲ ̲= {3}."
"Q-0000327","Toán","dap_an","A\B={1} \ne  B\A={3}!","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲={1} \ne B\A={…"
"Q-0000327","Toán","loi_giai","B\A={3}) |","KaTeX parse error: Undefined control sequence: \A at position 2: B\̲A̲={3}) |"
"Q-0000330","Toán","dap_an","A\B =","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲="
"Q-0000330","Toán","dap_an","B\A =","KaTeX parse error: Undefined control sequence: \A at position 2: B\̲A̲ ̲="
"Q-0000362","Toán","loi_giai","A\B = {1} \ne  B\A = {3}.","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲= {1} \ne B\A …"
"Q-0000364","Toán","loi_giai","A\B = {1}","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲= {1}"
"Q-0000364","Toán","loi_giai","B\A = {3} \Rightarrow","KaTeX parse error: Undefined control sequence: \A at position 2: B\̲A̲ ̲= {3} \Rightarr…"
"Q-0000365","Toán","loi_giai","A\A =","KaTeX parse error: Undefined control sequence: \A at position 2: A\̲A̲ ̲="
"Q-0000367","Toán","noi_dung","(A\B)\C = A\(B\C).","KaTeX parse error: Undefined control sequence: \B at position 3: (A\̲B̲)\C = A\(B\C)."
"Q-0000367","Toán","noi_dung","(A\B) = {1;3}","KaTeX parse error: Undefined control sequence: \B at position 3: (A\̲B̲) = {1;3}"
"Q-0000367","Toán","noi_dung","{1;3}\{3} = {1}.","KaTeX parse error: Expected 'EOF', got '}' at position 9: {1;3}\{3}̲ = {1}."
"Q-0000367","Toán","noi_dung","(B\C) = {2}","KaTeX parse error: Undefined control sequence: \C at position 3: (B\̲C̲) = {2}"
"Q-0000367","Toán","noi_dung","A\{2} = {1;3}.","KaTeX parse error: Expected 'EOF', got '}' at position 5: A\{2}̲ = {1;3}."
"Q-0000367","Toán","dap_an","(A\B)\C = {1} \ne  A\(B\C) = {1;3} \Rightarrow","KaTeX parse error: Undefined control sequence: \B at position 3: (A\̲B̲)\C = {1} \ne …"
"Q-0000369","Toán","dap_an","A\B = {1}, B\A = {3} \Rightarrow  A\B \ne  B\A","KaTeX parse error: Undefined control sequence: \B at position 2: A\̲B̲ ̲= {1}, B\A = {3…"
"Q-0000369","Toán","dap_an","(A\B)\C = {1;3}\{3} = {1}; A\(B\C) = A\{2} = {1;3} \Rightarrow","KaTeX parse error: Undefined control sequence: \B at position 3: (A\̲B̲)\C = {1;3}\{3}…"
"Q-0000427","Toán","dap_an","{10x + 15y \le  60","KaTeX parse error: Expected '}', got 'EOF' at end of input: …x + 15y \le 60"
"Q-0000427","Toán","dap_an","x \ge  0; y \ge  0}.","KaTeX parse error: Expected 'EOF', got '}' at position 19: …ge 0; y \ge 0}̲."
"Q-0000429","Toán","dap_an","{80x + 30y \le  1200","KaTeX parse error: Expected '}', got 'EOF' at end of input: …+ 30y \le 1200"
"Q-0000449","Toán","dap_an","I): A \cap  B = {x | x \in  A","KaTeX parse error: Expected '}', got 'EOF' at end of input: …= {x | x \in A"
"Q-0000449","Toán","dap_an","x \in  B} \Rightarrow","KaTeX parse error: Expected 'EOF', got '}' at position 9: x \in B}̲ \Rightarrow"
"Q-0000476","Toán","dap_an","{x + y \le  4","KaTeX parse error: Expected '}', got 'EOF' at end of input: {x + y \le 4"
"Q-0000476","Toán","dap_an","x \ge  0, y \ge  0} | B2:","KaTeX parse error: Expected 'EOF', got '}' at position 19: …ge 0, y \ge 0}̲ | B2:"
"Q-0000479","Toán","dap_an","{x + 2y \le  16","KaTeX parse error: Expected '}', got 'EOF' at end of input: {x + 2y \le 16"
